recommendation,class,level,table_number,table_name,guideline,year,page
"In women with LDS with P/LP variants in TGFB2, TGFB3, SMAD2, and SMAD3, and aortic root diameters ≥45 mm, surgery before pregnancy should be considered.437–",IIa,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"In women with BAV and root phenotype or family history of aortic aneurysm or dissection, surgery before pregnancy should be considered if the aorta is ≥45 mm.",IIa,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"In women without an identifiable P/LP variant with aortic root or ascending aortic aneurysm ≥45 mm, surgery before pregnancy should be considered in the presence of a family history of aortic aneurysm, aortic dissection, uncontrolled arterial hypertension, or on patient’s preference.",IIa,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"In women with MFS and aortic root diameters between 40 and 45 mm, surgery before pregnancy may be considered if risk factors (growth >3 mm/year, family history of aortic dissection) are present.",IIb,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"In women with LDS with P/LP variants in TGFBR1 or TGFBR2 and aortic root diameters ≥40 mm, surgery before pregnancy may be considered.",IIb,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"In women with nsHTAD and aortic root diameters ≥40–44 mm, surgery before pregnancy may be considered depending on the genetic variant, family history, and aortic growth rate.",IIb,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"Delivery In women with an aorta <40 mm, vaginal delivery is recommended.",I,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"In women with vascular Ehlers–Danlos syndrome, caesarean section at 37 weeks is recommended for obstetrical reasons.",I,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"In women with an aorta 40–45 mm, vaginal delivery with epidural anaesthesia and an expedited second stage should be considered.",IIa,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"In women with an aorta ≥45 mm, caesarean section should be considered.",IIa,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"In women with acute, subacute, or chronic aortic dissection, caesarean section should be considered.",IIa,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"In women with an aorta 40–45 mm, caesarean section may be considered.",IIb,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
The use of ergometrine post-delivery is not recommended in women with aortopathy.,III,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"Cardiac surgery during pregnancy Delivery before cardiac surgery should be considered as soon as the foetus is viable, taking gestational age, comorbidities, and the available level of neonatal care into account.",IIa,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"Cardiac surgery may be considered during pregnancy when conservative and medical therapy has failed, and in situations that threaten the mother’s life or that are not amenable to percutaneous treatment.",IIb,C,8,"Recommendations for aortopathies, cardiac surgery, and pregnancy",Pregnancy CVD,2025,43
"pulmonary arterial hypertension and pregnancy It is recommended that women of childbearing potential with PAH wishing to become pregnant are counselled by a multidisciplinary team regarding the very high risk of pregnancy-related adverse events, encouraging a shared decision-making process about whether to become pregnant.",I,C,10,Recommendations for,Pregnancy CVD,2025,48
It is recommended to provide clear contraceptive advice to women of childbearing potential with PAH.,I,C,10,Recommendations for,Pregnancy CVD,2025,48
"For women with PAH requiring pregnancy termination, it is recommended to perform this in PH centres.",I,C,10,Recommendations for,Pregnancy CVD,2025,48
Right-heart catheterization should be considered during pregnancy if there is diagnostic uncertainty or to assist with important therapeutic decisions.,IIa,C,10,Recommendations for,Pregnancy CVD,2025,48
"Endothelin receptor antagonists, riociguat, and selexipag are not recommended during pregnancy.",III,C,10,Recommendations for,Pregnancy CVD,2025,48
"Tables 9 and 10) For pregnant or post-partum women at high riskc of VTE, a prophylactic fixed dose of LMWH is recommended over a higher weight-adjusted dose to reduce the risk of VTE.",I,B,11,Recommendations for venous thromboembolic diseases and pregnancy (see Evidence,Pregnancy CVD,2025,52
"In pregnant women or women in the post-partum period with suspicion of VTE (DVT and/or PE), an immediate formal diagnostic assessment with validated methods is recommended and should not be postponed.",I,B,11,Recommendations for venous thromboembolic diseases and pregnancy (see Evidence,Pregnancy CVD,2025,52
"In pregnant women or women in the post-partum period with newly diagnosed VTE (DVT and/or PE), the involvement of the Pregnancy Heart Team, including a vascular specialist and a haematologist, is recommended.",I,C,11,Recommendations for venous thromboembolic diseases and pregnancy (see Evidence,Pregnancy CVD,2025,52
"In pregnant or post-partum women with a diagnosis of VTE without haemodynamic instability, anticoagulation is recommended by using therapeutic-dose LMWH based on early pregnancy body weight.",I,C,11,Recommendations for venous thromboembolic diseases and pregnancy (see Evidence,Pregnancy CVD,2025,52
"In pregnant women or women in the post-partum period with a strong clinical suspicion of VTE, initiation of treatment with a therapeutic dose of LMWH should be considered until the presence of VTE has been ruled out or confirmed.",IIa,C,11,Recommendations for venous thromboembolic diseases and pregnancy (see Evidence,Pregnancy CVD,2025,52
"In pregnant or post-partum women with a diagnosis of acute high-risk PE,d a catheter-based reperfusion strategy or systemic thrombolysis should be considered.533–",IIa,C,11,Recommendations for venous thromboembolic diseases and pregnancy (see Evidence,Pregnancy CVD,2025,52
"In pregnant or post-partum women with a diagnosis of acute high-risk PE,d surgical thrombectomy may be considered as an alternative to a catheter-based approach or systemic thrombolysis.533–",IIb,C,11,Recommendations for venous thromboembolic diseases and pregnancy (see Evidence,Pregnancy CVD,2025,52
"In pregnant women with chest pain, it is recommended to exclude life-threatening cardiovascular conditions, including PE, ACS (including SCAD), and acute aortic syndrome.",I,C,12,Recommendations for coronary artery disease and pregnancy (see Evidence Table 11),Pregnancy CVD,2025,55
"It is recommended to manage pregnant women with ACS in the same way as non-pregnant women, including diagnostic investigations and interventions.",I,C,12,Recommendations for coronary artery disease and pregnancy (see Evidence Table 11),Pregnancy CVD,2025,55
Low-dose ASA is recommended as the antiplatelet treatment of choice during pregnancy and lactation when single antiplatelet treatment is indicated.573–,I,B,12,Recommendations for coronary artery disease and pregnancy (see Evidence Table 11),Pregnancy CVD,2025,55
"If DAPT is required, clopidogrel is recommended as the P2Y12 inhibitor of choice during pregnancy.",I,C,12,Recommendations for coronary artery disease and pregnancy (see Evidence Table 11),Pregnancy CVD,2025,55
"The duration of DAPT (aspirin and clopidogrel) in pregnant women undergoing coronary stent implantation is recommended to be the same as in non-pregnant women, with an individual approach considering ischaemic risk and delivery-related bleeding risks.",I,C,12,Recommendations for coronary artery disease and pregnancy (see Evidence Table 11),Pregnancy CVD,2025,55
"A vaginal delivery should be considered in most pregnant women with ACS, depending on LV function and clinical symptoms.",IIa,C,12,Recommendations for coronary artery disease and pregnancy (see Evidence Table 11),Pregnancy CVD,2025,55
Continuation of statins may be considered during pregnancy in women with established ASCVD.580–,IIb,C,12,Recommendations for coronary artery disease and pregnancy (see Evidence Table 11),Pregnancy CVD,2025,55
12–17) It is recommended to aim for systolic BP <140 mmHg and diastolic BP <90 mmHg in pregnant women.,I,B,13,Recommendations for hypertensive disorders and pregnancy (see Evidence Tables,Pregnancy CVD,2025,60
"Systolic BP ≥160 mmHg or diastolic BP ≥110 mmHg in a pregnant woman is an emergency, and treatment in a hospital setting is recommended.",I,C,13,Recommendations for hypertensive disorders and pregnancy (see Evidence Tables,Pregnancy CVD,2025,60
Low-dose aspirin (75–150 mg daily) is recommended in women at moderate or high risk of pre-eclampsia (i.e. at least one high-risk factor or two moderate-risk factors for pre-eclampsia) from weeks 12 to 36/37.,I,A,13,Recommendations for hypertensive disorders and pregnancy (see Evidence Tables,Pregnancy CVD,2025,60
"In women with gestational hypertension, initiation of drug treatment is recommended at systolic BP ≥140 mmHg or diastolic BP ≥90 mmHg.c583–",I,B,13,Recommendations for hypertensive disorders and pregnancy (see Evidence Tables,Pregnancy CVD,2025,60
Methyldopa is recommended for the treatment of hypertension in pregnancy.,I,B,13,Recommendations for hypertensive disorders and pregnancy (see Evidence Tables,Pregnancy CVD,2025,60
"Labetalol, metoprolol, and dihydropyridine CCBs are recommended for the treatment of hypertension in pregnancy.",I,C,13,Recommendations for hypertensive disorders and pregnancy (see Evidence Tables,Pregnancy CVD,2025,60
"In severe hypertension, drug treatment with i.v. labetalol, urapidil, nicardipine, or oral short acting nifedipine or methyldopa is recommended for acute reduction in blood pressure.625,626 Intravenous hydralazine is a second-line option.",I,C,13,Recommendations for hypertensive disorders and pregnancy (see Evidence Tables,Pregnancy CVD,2025,60
"In pre-eclampsia associated with pulmonary oedema, nitroglycerine given as an i.v. infusion is recommended.",I,C,13,Recommendations for hypertensive disorders and pregnancy (see Evidence Tables,Pregnancy CVD,2025,60
"In women with pre-eclampsia without severe features, delivery is recommended at 37 weeks.",I,B,13,Recommendations for hypertensive disorders and pregnancy (see Evidence Tables,Pregnancy CVD,2025,60
It is recommended to expedite delivery in women with pre-eclampsia associated with adverse markers such as haemostatic disorders.,I,C,13,Recommendations for hypertensive disorders and pregnancy (see Evidence Tables,Pregnancy CVD,2025,60
"In women with gestational hypertension, delivery is recommended at 39 weeks.",I,B,13,Recommendations for hypertensive disorders and pregnancy (see Evidence Tables,Pregnancy CVD,2025,60
"Ambulatory BP or home BP monitoring should be considered to exclude white-coat and masked hypertension, which are common in pregnancy.",IIa,C,13,Recommendations for hypertensive disorders and pregnancy (see Evidence Tables,Pregnancy CVD,2025,60
Home BP monitoring may be considered as an adjunct to office BP measurements in pregnant women to detect new-onset hypertension or for monitoring BP control.,IIb,B,13,Recommendations for hypertensive disorders and pregnancy (see Evidence Tables,Pregnancy CVD,2025,60
Acute management of SVT and AF Immediate electrical cardioversion is recommended for acute treatment of SVT with haemodynamic instability.,I,C,14,Recommendations for supraventricular tachycardia and pregnancy,Pregnancy CVD,2025,64
Vagal manoeuvres and i.v. adenosine are recommended for conversion of haemodynamically stable supraventricular tachycardias.,I,C,14,Recommendations for supraventricular tachycardia and pregnancy,Pregnancy CVD,2025,64
Intravenous beta-blockersc (e.g. metoprolol) are recommended as the first-line option for acute rate control in pregnant women with AF or AF with preserved LVEF and rapid ventricular rate.,I,C,14,Recommendations for supraventricular tachycardia and pregnancy,Pregnancy CVD,2025,64
Intravenous digoxin or verapamil (if preserved LVEF) should be considered as a second-line option for initial rate control in pregnant women with AF or AFL and rapid ventricular rate.,IIa,C,14,Recommendations for supraventricular tachycardia and pregnancy,Pregnancy CVD,2025,64
Ibutilide or flecainide may be considered for termination of AF and AFL in pregnant women without structural heart disease.,IIb,C,14,Recommendations for supraventricular tachycardia and pregnancy,Pregnancy CVD,2025,64
Long-term management of SVT and AF Therapeutic anticoagulation with LMWH is recommended for pregnant women with persistent or permanent AF at elevated thromboembolic risk.,I,C,14,Recommendations for supraventricular tachycardia and pregnancy,Pregnancy CVD,2025,64
"Beta-1-selective blockersc are recommended for rate control in pregnant women with AF, AFL, or FAT.",I,C,14,Recommendations for supraventricular tachycardia and pregnancy,Pregnancy CVD,2025,64
Beta-1-selective blockersc or verapamil are recommended for the prevention of SVT in women without pre-excitation on resting ECG.,I,C,14,Recommendations for supraventricular tachycardia and pregnancy,Pregnancy CVD,2025,64
Flecainide or propafenone are recommended for the prevention of arrhythmias in pregnant women with WPW syndrome.,I,C,14,Recommendations for supraventricular tachycardia and pregnancy,Pregnancy CVD,2025,64
"Digoxin or verapamil should be considered for rate control in pregnant women with AF, AFL, or FAT when beta-blockers fail or are not tolerated.",IIa,C,14,Recommendations for supraventricular tachycardia and pregnancy,Pregnancy CVD,2025,64
"Flecainide, in addition to beta-blockers, should be considered for long-term AF rhythm control in pregnancy.",IIa,C,14,Recommendations for supraventricular tachycardia and pregnancy,Pregnancy CVD,2025,64
Sotalol may be considered for rhythm management of AF and AFL with controlling for pro-arrhythmic risk factors as in non-pregnant women.,IIb,C,14,Recommendations for supraventricular tachycardia and pregnancy,Pregnancy CVD,2025,64
"Catheter ablation may be considered in pregnant women with recurrent, long symptomatic SVT, or with contraindications to pharmacological therapies.",IIb,C,14,Recommendations for supraventricular tachycardia and pregnancy,Pregnancy CVD,2025,64
"ventricular tachycardia, device implantation, catheter ablation, and pregnancy Immediate electrical cardioversion is recommended for both unstable and stable ventricular tachycardias.",I,C,15,Recommendations for,Pregnancy CVD,2025,67
Beta-blockers or verapamil are recommended for the prevention of idiopathic sustained VT.,I,C,15,Recommendations for,Pregnancy CVD,2025,67
"If an ICD, pacemaker, or resynchronization therapy device is indicated during pregnancy, implantation is recommended with optimal radiation protection.",I,C,15,Recommendations for,Pregnancy CVD,2025,67
"In idiopathic RVOT-VT, flecainide should be considered if beta-blockers fail, to prevent recurrence.",IIa,C,15,Recommendations for,Pregnancy CVD,2025,67
"When performing catheter ablation during pregnancy, the use of non-fluoroscopic mapping and navigation systems should be considered.663–",IIa,C,15,Recommendations for,Pregnancy CVD,2025,67
"Catheter ablation with electro-anatomical mapping systems may be considered in experienced centres in the case of sustained drug-refractory, recurrent, and/ or poorly tolerated VT if there are no other alternatives.",IIb,C,15,Recommendations for,Pregnancy CVD,2025,67
cardiac arrest and pregnancy Recommendation Continuous manual left uterine displacement during CPR in pregnant women (≥20 weeks) with cardiac arrest is recommended to relieve aortocaval compression.,I,C,16,Recommendations for,Pregnancy CVD,2025,69
It is recommended to establish i.v. access above the diaphragm to ensure that the i.v. therapy is not obstructed by the gravid uterus.,I,C,16,Recommendations for,Pregnancy CVD,2025,69
It is recommended to perform the same chest compressions and defibrillation protocols in pregnant as in non-pregnant women.,I,C,16,Recommendations for,Pregnancy CVD,2025,69
Anterolateral defibrillator pad placement is recommended with the lateral pad placed under the breast.,I,C,16,Recommendations for,Pregnancy CVD,2025,69
It is recommended that no drugs are withheld in pregnant women with cardiac arrest due to concerns of teratogenicity.,I,C,16,Recommendations for,Pregnancy CVD,2025,69
"Immediate caesarean section at the site of the arrest should be considered and immediately prepared if ROSC has not been achieved in the mother after 4 min of resuscitative efforts and if the foetus is viable, taking gestational age, comorbidities, and the available level of medical care into account.",IIa,C,16,Recommendations for,Pregnancy CVD,2025,69
"congenital atrioventricular block and pregnancy Recommendation In pregnant women with asymptomatic congenital AV block, normal cardiac anatomy and function, a narrow QRS complex, and ventricular rate (≥50 b.p.m.), a prophylactic temporary pacemaker during delivery is not recommended.",III,C,17,Recommendation for,Pregnancy CVD,2025,69
Intervention is recommended before pregnancy in symptomatic patients with severe aortic stenosis.,I,C,18,Recommendations for native valve disease and pregnancy,Pregnancy CVD,2025,72
Intervention is recommended before pregnancy in women with mitral stenosis and a valve area <1.5 cm2.,I,C,18,Recommendations for native valve disease and pregnancy,Pregnancy CVD,2025,72
"In pregnant women with symptomatic mitral stenosis or pulmonary hypertension, restricted activities and beta-blockers are recommended.",I,C,18,Recommendations for native valve disease and pregnancy,Pregnancy CVD,2025,72
"In pregnant women with mitral stenosis, diuretics are recommended when congestive symptoms persist despite beta-blockers.",I,C,18,Recommendations for native valve disease and pregnancy,Pregnancy CVD,2025,72
"Full therapeutic-dose anticoagulation is recommended in women with mitral stenosis complicated by AF, left atrial thrombus, or prior embolism.",I,C,18,Recommendations for native valve disease and pregnancy,Pregnancy CVD,2025,72
"Surgical treatment is recommended before pregnancy in women with severe aortic or mitral regurgitation with symptoms, impaired ventricular function, or marked ventricular dilatation.",I,C,18,Recommendations for native valve disease and pregnancy,Pregnancy CVD,2025,72
Diuretics are recommended in pregnant women with regurgitant lesions when symptoms or signs of congestion occur.,I,C,18,Recommendations for native valve disease and pregnancy,Pregnancy CVD,2025,72
Intervention should be considered before pregnancy in those with asymptomatic severe aortic stenosis after counselling on the risks and benefits.,IIa,C,18,Recommendations for native valve disease and pregnancy,Pregnancy CVD,2025,72
Percutaneous mitral commissurotomy for mitral stenosis should be considered in pregnant women with severe symptoms or systolic pulmonary artery pressure >50 mmHg despite medical therapy.,IIa,C,18,Recommendations for native valve disease and pregnancy,Pregnancy CVD,2025,72
Valve surgery during pregnancy should only be considered when there is a maternal mortality risk and other treatment options have failed.,IIa,C,18,Recommendations for native valve disease and pregnancy,Pregnancy CVD,2025,72
"In very selected symptomatic pregnant women with severe aortic stenosis not responding to medical therapy, non-surgical options such as balloon valvuloplasty or TAVI may be considered.",IIb,C,18,Recommendations for native valve disease and pregnancy,Pregnancy CVD,2025,72
A bioprosthetic valve is recommended (over a mechanical valve) in young women contemplating pregnancy requiring a valve prosthesis.,I,B,19,Recommendations for prosthetic valves and pregnancy (see Evidence Table 18),Pregnancy CVD,2025,73
It is recommended that the type of valve surgery or intervention for a woman contemplating pregnancy is chosen in consultation with the Pregnancy Heart Team.,I,C,19,Recommendations for prosthetic valves and pregnancy (see Evidence Table 18),Pregnancy CVD,2025,73
Women with mechanical heart valves It is recommended that a care plan documenting the agreed anticoagulant strategy (including the decision to continue VKAs or converting to therapeutic-dose LMWH in the first trimester) is in place for women of childbearing age with an MHV prior to pregnancy or as soon as pregnancy is recognized.,I,C,19,Recommendations for prosthetic valves and pregnancy (see Evidence Table 18),Pregnancy CVD,2025,73
It is recommended that pregnant women with an MHV are managed by the Pregnancy Heart Team.,I,C,19,Recommendations for prosthetic valves and pregnancy (see Evidence Table 18),Pregnancy CVD,2025,73
"In pregnant women on VKAs, it is recommended to perform INR monitoring weekly or at a minimum every 2 weeks.",I,C,19,Recommendations for prosthetic valves and pregnancy (see Evidence Table 18),Pregnancy CVD,2025,73
"In pregnant women with MHVs on therapeutic-dose LMWH, it is recommended to check peak anti-factor Xa levels and to target levels according to individualized risk.",I,C,19,Recommendations for prosthetic valves and pregnancy (see Evidence Table 18),Pregnancy CVD,2025,73
"During the second and third trimesters until the 36th week, continuing VKAs should be considered in women with prosthetic heart valves at higher risk of thrombosis.",IIa,C,19,Recommendations for prosthetic valves and pregnancy (see Evidence Table 18),Pregnancy CVD,2025,73
"During the second and third trimesters, continuing LMWH with anti-factor Xa level monitoring and dose adjustment may be considered in women at lower risk of thrombosis.",IIb,C,19,Recommendations for prosthetic valves and pregnancy (see Evidence Table 18),Pregnancy CVD,2025,73
LMWH is not recommended when anti-factor Xa level monitoring is not available.,III,C,19,Recommendations for prosthetic valves and pregnancy (see Evidence Table 18),Pregnancy CVD,2025,73
chronic and acute heart failure and pregnancy (see Evidence Table 19) Chronic heart failure It is recommended that women with HFrEF are advised about the risk of deterioration of cardiac function during pregnancy and peripartum.,I,C,20,Recommendations for,Pregnancy CVD,2025,75
"In pregnant women with HFrEF, it is recommended that non-selective beta-blockers are switched to beta-1-selective blockers (metoprolol, bisoprolol) with close maternal and foetal monitoring.",I,C,20,Recommendations for,Pregnancy CVD,2025,75
Anticoagulation with therapeutic doses of LMWH is recommended in pregnant women with intracardiac thrombus or decreased LV function with EF <35%.,I,C,20,Recommendations for,Pregnancy CVD,2025,75
"It is recommended to optimize HF guideline-directed medical therapy after delivery, taking contraindicated drugs during lactation into accountc.",I,C,20,Recommendations for,Pregnancy CVD,2025,75
"Due to the high metabolic demands of lactation, avoiding lactation may be considered in women with severe HF.",IIb,C,20,Recommendations for,Pregnancy CVD,2025,75
"ACE-Is, ARBs, ARNIs, MRAs, ivabradine, and SGLT2 inhibitors are not recommended during pregnancy due to adverse foetal effects.",III,C,20,Recommendations for,Pregnancy CVD,2025,75
"Acute heart failure Inotropes and/or vasopressors are recommended in pregnant women with cardiogenic shock with levosimendan, dobutamine, and milrinone as recommended agents.",I,C,20,Recommendations for,Pregnancy CVD,2025,75
"Urgent delivery with caesarean section is recommended in pregnant women with cardiogenic shock as soon as the foetus is viable, taking gestational age, comorbidities, and the available level of medical care into account.",I,C,20,Recommendations for,Pregnancy CVD,2025,75
Early transfer of pregnant women in cardiogenic shock to a facility providing mechanical circulatory support should be considered.,IIa,C,20,Recommendations for,Pregnancy CVD,2025,75
Preventing lactation may be considered in women with severe HF due to the high metabolic demands of lactation.,IIb,B,20,Recommendations for,Pregnancy CVD,2025,75
"heart transplantation and pregnancy It is recommended to postpone pregnancy until at least 1 year after heart transplantation, taking individual risk factors into account.",I,C,21,Recommendations for,Pregnancy CVD,2025,77
"In women with a heart transplant, it is recommended that immunosuppression serum drug levels are monitored during pregnancy every 4 weeks until the 32nd week, then every 2 weeks until the 36th week, then weekly until delivery, and for 6–12 months after delivery to guide dosing.",I,C,21,Recommendations for,Pregnancy CVD,2025,77
"It is recommended to perform weekly monitoring of donor-specific antibodies for at least 6–12 months after delivery.275,741,749–",I,C,21,Recommendations for,Pregnancy CVD,2025,77
Paternal HLA testing prior to conception should be considered due to the risk of developing donor-specific antibodies.,IIa,C,21,Recommendations for,Pregnancy CVD,2025,77
Mycophenolic acid therapy is not recommended in pregnancy and should be dis,III,C,21,Recommendations for,Pregnancy CVD,2025,77
cardio-oncology and pregnancy It is recommended that pregnant women with cancer who require cardiotoxic cancer therapy are jointly managed by the Pregnancy Heart Team and the cardio-oncology team.,I,C,22,Recommendations for,Pregnancy CVD,2025,78
Cardiac troponin and NP measurements may be considered at baseline and during anthracycline chemotherapy in pregnant women with cancer.,IIb,C,22,Recommendations for,Pregnancy CVD,2025,78
"Tables 20 and 21) It is recommended to undertake a cardiovascular risk assessment in women with APOs, to recognize and document APOs when CVD risk is evaluated in women, and to provide counselling on the importance of healthy lifestyle choices that optimize cardiovascular health.",I,B,23,Recommendations for long-term effects of adverse pregnancy outcomes (see Evidence,Pregnancy CVD,2025,81
"In women with persistent post-partum hypertension beyond 6 weeks to 3 months post-partum, initiation of antihypertensive therapy with reference to lactating status is recommended following current guidelines.",I,B,23,Recommendations for long-term effects of adverse pregnancy outcomes (see Evidence,Pregnancy CVD,2025,81
"In cases where adoption of healthy lifestyle choices alone is inadequate to control post-partum glucose levels, initiation of pharmacotherapy following current guidelines is recommended.",I,C,23,Recommendations for long-term effects of adverse pregnancy outcomes (see Evidence,Pregnancy CVD,2025,81
It is recommended that women with a history of GDM undergo a formal oGTT 6–12 weeks post-partum with a repeat assessment at 6–12 months and regular annual follow-up visits to screen for diabetes.,I,C,23,Recommendations for long-term effects of adverse pregnancy outcomes (see Evidence,Pregnancy CVD,2025,81
Nifedipine and labetalol (metoprolol if labetalol is unavailable) are recommended as treatments for uncomplicated post-partum hypertension in the first 6 weeks after delivery.,I,C,23,Recommendations for long-term effects of adverse pregnancy outcomes (see Evidence,Pregnancy CVD,2025,81
"In women with a history of any APO, cardiovascular risk assessment should be considered at 3 months post-partum with repeat assessment at 6–12 months after implementation of appropriate lifestyle interventions, and regular long-term follow-up thereafter.",IIa,C,23,Recommendations for long-term effects of adverse pregnancy outcomes (see Evidence,Pregnancy CVD,2025,81
Breastfeeding may be considered in order to lower the future cardiovascular risk in women with APOs.,IIb,C,23,Recommendations for long-term effects of adverse pregnancy outcomes (see Evidence,Pregnancy CVD,2025,81
"management of chronic coronary syndrome in patients with valvular heart disease (see also Supplementary data online, Evidence Table 1) Diagnosis of coronary artery disease CCTA is recommended before valve intervention in patients with moderate or lower (≤50%) pre-test likelihood of obstructive CAD.122–",I,B,1,Recommendations for the,Valvular Heart Disease,2025,22
Invasive coronary angiography is recommended before valve intervention in patients with high and very high (>50%) pre-test likelihood of obstructive CAD.,I,C,1,Recommendations for the,Valvular Heart Disease,2025,22
Invasive coronary angiography is recommended in the evaluation of CAD in patients with severe ventricular SMR.,I,C,1,Recommendations for the,Valvular Heart Disease,2025,22
"Omission of invasive coronary angiography should be considered in TAVI candidates, if procedural planning CT angiography is of sufficient quality to rule out significant CAD.125–",IIa,B,1,Recommendations for the,Valvular Heart Disease,2025,22
"management of atrial fibrillation in patients with native valvular heart disease (see also Supplementary data online, Evidence Tables 2 and 3) Anticoagulation DOACs are recommended for stroke prevention in preference to VKAs in patients with AF and AS, AR, or MR who are eligible for OAC.156–",I,A,2,Recommendations for the,Valvular Heart Disease,2025,23
The use of DOACs is not recommended in patients with AF and rheumatic MS with an MVA ≤2.0 cm2.,III,B,2,Recommendations for the,Valvular Heart Disease,2025,23
"Surgical interventions Concomitant surgical ablation is recommended in patients undergoing MV surgery with AF suitable for a rhythm control strategy to prevent symptoms and recurrence of AF, according to an experienced team of electrophysiologists and arrhythmia surgeons.166–",I,A,2,Recommendations for the,Valvular Heart Disease,2025,23
Surgical closure of the LA appendage is recommended as an adjunct to OAC in patients with AF undergoing valve surgery to prevent cardioembolic stroke and systemic thromboembolism.160–,I,B,2,Recommendations for the,Valvular Heart Disease,2025,23
"Concomitant surgical ablation should be considered in patients undergoing non-MV surgery with AF suitable for a rhythm control strategy to prevent symptoms and recurrence of AF, according to an experienced team of electrophysiologists and arrhythmia surgeons.",IIa,B,2,Recommendations for the,Valvular Heart Disease,2025,23
"(see also Supplementary data online, Evidence Tables 4–8) Severe aortic regurgitation AV surgery is recommended in symptomatic patients with severe AR regardless of LV function.224–",I,B,3,Recommendations on indications for intervention in severe aortic regurgitation,Valvular Heart Disease,2025,28
AV surgery is recommended in asymptomatic patients with severe AR and LVESD >50 mm or LVESDi >25 mm/m2 [especially in patients with small body size (BSA <1.68 m2)] or resting LVEF ≤50%.,I,B,3,Recommendations on indications for intervention in severe aortic regurgitation,Valvular Heart Disease,2025,28
AV surgery is recommended in symptomatic and asymptomatic patients with severe AR undergoing CABG or surgery of the ascending aorta.,I,C,3,Recommendations on indications for intervention in severe aortic regurgitation,Valvular Heart Disease,2025,28
"AV repair should be considered in selected patients with severe AR at experienced centres, when durable results are expected.",IIa,B,3,Recommendations on indications for intervention in severe aortic regurgitation,Valvular Heart Disease,2025,28
"AV surgery may be considered in asymptomatic patients with severe AR and LVESDi >22 mm/m2,226,228,231–234 or LVESVic >45 mL/m2 [especially in patients with small body size (BSA <1.68 m2)],235–241 or resting LVEF ≤55%, if the surgical risk is low.",IIb,B,3,Recommendations on indications for intervention in severe aortic regurgitation,Valvular Heart Disease,2025,28
"Concomitant surgery of the ascending aorta Valve-sparing aortic root replacement is recommended in young patients with aortic root dilatation at experienced centres, when durable results are expected.247,250–",I,B,3,Recommendations on indications for intervention in severe aortic regurgitation,Valvular Heart Disease,2025,28
"When AV surgery is indicated and the predicted surgical risk is low, replacement of the aortic root or ascending aorta should be considered if the maximal diameter is ≥45 mm.d",IIa,C,3,Recommendations on indications for intervention in severe aortic regurgitation,Valvular Heart Disease,2025,28
"aortic stenosis, and recommended mode of intervention (see also Supplementary data online, Evidence Tables 9–13) Symptomatic patients with severe aortic stenosis Intervention is recommended in symptomatic patients with severe, high-gradient AS [mean gradient ≥40 mmHg, Vmax ≥4.0 m/s, AVA ≤1.0 cm2 (or ≤0.6 cm2/m2 BSA)].388,471–",I,B,4,Recommendations on indications for intervention in symptomatic and asymptomatic severe,Valvular Heart Disease,2025,36
"Intervention is recommended in symptomatic patients with low-flow (SVi ≤35 mL/m2), low-gradient (<40 mmHg) AS with reduced LVEF (<50%) after careful confirmation that AS is severe.",I,B,4,Recommendations on indications for intervention in symptomatic and asymptomatic severe,Valvular Heart Disease,2025,36
"Intervention should be considered in symptomatic patients with low-flow (SVi ≤35 mL/m2), low-gradient (<40 mmHg) AS with normal LVEF (≥50%) after careful confirmation that AS is severe.c 293,348,349,476–",IIa,B,4,Recommendations on indications for intervention in symptomatic and asymptomatic severe,Valvular Heart Disease,2025,36
"Asymptomatic patients with severe aortic stenosis Intervention is recommended in asymptomatic patients with severe AS and LVEF <50% without another cause.14,354–",I,B,4,Recommendations on indications for intervention in symptomatic and asymptomatic severe,Valvular Heart Disease,2025,36
"Intervention should be considered in asymptomatic patients (confirmed by a normal exercise test, if feasible) with severe, high-gradient AS and LVEF ≥50% as an alternative to close active surveillance, if the procedural risk is low.360–",IIa,A,4,Recommendations on indications for intervention in symptomatic and asymptomatic severe,Valvular Heart Disease,2025,36
